Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-06;0900;0;5.2;4.5;95;
2023-09-06;1000;0;5.1;4.5;96;
2023-09-06;1100;0;8.4;6.2;86;
2023-09-06;1200;0;11.2;7.8;79;
2023-09-06;1300;0;12.3;7;70;
2023-09-06;1400;0;13.7;7.2;65;
2023-09-06;1500;0;14.4;8.1;66;
2023-09-06;1600;0;15.2;8.8;66;
2023-09-06;1700;0;15.5;8.9;65;
2023-09-06;1800;0;15.4;8.6;64;
2023-09-06;1900;0;15.4;10;70;
2023-09-06;2000;0;15.2;10;71;
2023-09-06;2100;0;14.6;10.2;75;
2023-09-06;2200;0;14.4;10.8;79;
2023-09-06;2300;0;14.2;11.6;84;

