Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-06;0900;0;9.5;8.7;94;
2023-09-06;1000;0;11.1;8.9;86;
2023-09-06;1100;0;12.5;9.5;82;
2023-09-06;1200;0;14.8;10.4;75;
2023-09-06;1300;0;17.2;11.5;69;
2023-09-06;1400;0;19;11.6;62;
2023-09-06;1500;0;19.8;12.3;62;
2023-09-06;1600;0;20.6;12.2;58;
2023-09-06;1700;0;21;12.1;57;
2023-09-06;1800;0;20.7;12;58;
2023-09-06;1900;0;19.9;12.3;61;
2023-09-06;2000;0;18.7;11.9;65;
2023-09-06;2100;0;17.2;12;72;
2023-09-06;2200;0;16.6;12.3;75;
2023-09-06;2300;0;16.4;12.4;77;

