Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Fechada
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-06;1100;0;13.3;11.5;89;
2023-09-06;1200;0;16.7;11.9;73;
2023-09-06;1300;0;18.9;12.6;67;
2023-09-06;1400;0;19.7;13.6;68;
2023-09-06;1500;null;null;null;null;
2023-09-06;1600;0;20.6;13.1;63;
2023-09-06;1700;0;20.4;12.8;62;
2023-09-06;1800;0;18.4;11.7;65;
2023-09-06;1900;0;17.6;12.3;71;
2023-09-06;2000;0;17.3;13;76;
2023-09-06;2100;0;17.2;13.2;77;
2023-09-06;2200;0;17.3;13.4;78;
2023-09-06;2300;0;17.4;13.5;78;

