Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-06;0700;0;9.7;9.1;96;
2023-09-06;0800;0;9.4;8.9;96;
2023-09-06;0900;0;9.6;9;96;
2023-09-06;1000;0;10.1;9.6;97;
2023-09-06;1100;0;11.6;10.9;95;
2023-09-06;1200;0;15.5;13.6;89;
2023-09-06;1300;0;19.1;15.7;80;
2023-09-06;1400;0;20.9;16.5;76;
2023-09-06;1500;0;22.1;16.8;72;
2023-09-06;1600;0;23.2;17.5;70;
2023-09-06;1700;0;24;17.8;68;
2023-09-06;1800;0;24.5;18;67;
2023-09-06;1900;0;25;17.9;65;
2023-09-06;2000;0;23.5;18;71;
2023-09-06;2100;0;21.9;17.2;75;
2023-09-06;2200;0;20.8;17.2;80;
2023-09-06;2300;0;19.8;16.4;81;

